loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
2.4682509899139404,0.3826579749584198,0.2811261117458343,0.266539990901947,0.3826579749584198,0.7306602597236633,0.6747729182243347,1.9406499862670896,0.3396632969379425,0.0932951346039772,0.2047819793224334,0.3396632969379425,0.7470464706420898,0.8192059993743896
1.123146653175354,0.178178071975708,0.0967325642704963,0.1743135899305343,0.178178071975708,0.7468809485435486,0.8151968121528625,86.35789489746094,17.238075256347656,0.0609718896448612,0.1521124392747879,17.238075256347656,0.7499696016311646,0.8690987229347229
0.71454918384552,0.1072630807757377,0.0745018944144249,0.1329616606235504,0.1072630807757377,0.7488710880279541,0.8618471026420593,124.80950927734376,24.93484687805176,0.0544619485735893,0.1070720106363296,24.93484687805176,0.7505850195884705,0.8921673893928528
0.5826507210731506,0.0870254561305046,0.0624411590397357,0.1077224910259246,0.0870254561305046,0.7499699592590332,0.8807721138000488,53.18181991577149,10.614670753479004,0.0433103963732719,0.0869722515344619,10.614670753479004,0.7517173886299133,0.9184549450874328
0.4636399149894714,0.067202016711235,0.054106630384922,0.0929391831159591,0.067202016711235,0.750694215297699,0.8972369432449341,43.25031280517578,8.628804206848145,0.0400199927389621,0.0924968719482421,8.628804206848145,0.7519404888153076,0.9259656667709352
0.3774225413799286,0.0536867268383502,0.0468463450670242,0.0774388238787651,0.0536867268383502,0.7513534426689148,0.9170136451721193,106.9443817138672,21.368871688842773,0.0348941460251808,0.0953042656183242,21.368871688842773,0.7523707747459412,0.9366952776908876
0.3382752239704132,0.0478644594550132,0.0425579585134983,0.0702319592237472,0.0478644594550132,0.7517384886741638,0.9229750037193298,59.85665512084961,11.957045555114746,0.0295640472322702,0.0541528984904289,11.957045555114746,0.7528442144393921,0.9479613900184632
0.3238947987556457,0.047021847218275,0.0381121560931205,0.0632341355085372,0.047021847218275,0.7521392107009888,0.9309235215187072,26.254114151000977,5.238029479980469,0.0262255575507879,0.0492361225187778,5.238029479980469,0.7531463503837585,0.95064377784729
0.2854628562927246,0.0410917326807975,0.0347991958260536,0.0556108057498931,0.0410917326807975,0.7524283528327942,0.9454011917114258,33.070220947265625,6.603197574615479,0.0220702961087226,0.0422386154532432,6.603197574615479,0.7536337375640869,0.9613733887672424
0.2414968907833099,0.0337189510464668,0.0319776535034179,0.0498717464506626,0.0337189510464668,0.7526854872703552,0.951078712940216,22.67662811279297,4.5250349044799805,0.021251717582345,0.0391495339572429,4.5250349044799805,0.7534576058387756,0.9586910009384156
1.087296962738037,0.1739003807306289,0.0879460722208023,0.1717543601989746,0.1739003807306289,0.7477969527244568,0.8126419186592102,28.830183029174805,5.736212730407715,0.0557550825178623,0.1309708654880523,5.736212730407715,0.7498239874839783,0.8739270567893982
0.6679591536521912,0.1005488559603691,0.0661379918456077,0.1320164054632187,0.1005488559603691,0.7497377395629883,0.8552232980728149,55.782352447509766,11.134060859680176,0.0435189493000507,0.0936170741915702,11.134060859680176,0.7509053349494934,0.9120171666145324
0.536851167678833,0.0802072286605835,0.0556056722998619,0.1048133820295333,0.0802072286605835,0.7506719827651978,0.8890991806983948,34.03883743286133,6.789230823516846,0.0358884744346141,0.0777022019028663,6.789230823516846,0.751632571220398,0.9270386099815368
0.4263716042041778,0.0617410726845264,0.0484701506793499,0.0899211540818214,0.0617410726845264,0.7512969970703125,0.9000756740570068,58.38972854614258,11.661883354187012,0.0315174683928489,0.0660598576068878,11.661883354187012,0.7519762516021729,0.9377682209014891
0.3739576339721679,0.0541624538600444,0.0434471555054187,0.0759486556053161,0.0541624538600444,0.7517593502998352,0.9180545210838318,25.00198173522949,4.986969470977783,0.028175588697195,0.0497404709458351,4.986969470977783,0.7522774338722229,0.9517167210578918
0.33598193526268,0.0489525161683559,0.0387503243982791,0.0661878362298011,0.0489525161683559,0.7521719932556152,0.933099925518036,18.83588981628418,3.754859209060669,0.0244921632111072,0.0497241243720054,3.754859209060669,0.7526327967643738,0.9490343332290648
0.2977892458438873,0.0429203137755394,0.0346885845065116,0.0623089931905269,0.0429203137755394,0.7525357604026794,0.9379258155822754,16.694433212280273,3.328756809234619,0.0197358820587396,0.04207494109869,3.328756809234619,0.7533233761787415,0.9603004455566406
0.2416221499443054,0.0334590822458267,0.0317414477467536,0.0534294135868549,0.0334590822458267,0.7528225779533386,0.9471991062164308,9.999217987060549,1.9901162385940552,0.0202828831970691,0.0364335216581821,1.9901162385940552,0.7530365586280823,0.9699570536613464
0.2461287975311279,0.0352850146591663,0.0298006199300289,0.0500054582953453,0.0352850146591663,0.7530083060264587,0.952876627445221,22.294477462768555,4.4503607749938965,0.0175488758832216,0.0327090919017791,4.4503607749938965,0.7529851198196411,0.969420611858368
0.2071059197187423,0.0288360528647899,0.0269136391580104,0.04511009901762,0.0288360528647899,0.7532474994659424,0.9556207656860352,33.994510650634766,6.790888786315918,0.015479264780879,0.0336920507252216,6.790888786315918,0.7536996603012085,0.966738224029541
0.246266558766365,0.035198014229536,0.0301892664283514,0.0499855130910873,0.035198014229536,0.7529717087745667,0.948618471622467,64.62398529052734,12.916725158691406,0.015543513931334,0.0340906865894794,12.916725158691406,0.7534472346305847,0.9704935550689696
0.215054303407669,0.0308539625257253,0.0258141290396451,0.0441266261041164,0.0308539625257253,0.7533533573150635,0.9591218829154968,19.76982307434082,3.94659161567688,0.0152277704328298,0.0280301850289106,3.94659161567688,0.7534807324409485,0.975321888923645
