loss,dimension_loss,orientation_loss,confidence_loss,dimension_mse,orientation_mse,confidence_accuracy,val_loss,val_dimension_loss,val_orientation_loss,val_confidence_loss,val_dimension_mse,val_orientation_mse,val_confidence_accuracy
2.120335340499878,0.28549593687057495,0.3683415651321411,0.280688613653183,0.28549593687057495,0.7229006290435791,0.6640802621841431,6.688665866851807,1.277720332145691,0.1277039796113968,0.2170172929763794,1.277720332145691,0.743802547454834,0.7757510542869568
0.9367378354072571,0.1381247490644455,0.10568287968635559,0.17517752945423126,0.1381247490644455,0.7461402416229248,0.8168054223060608,23.886009216308594,4.745763301849365,0.05468469485640526,0.1503116339445114,4.745763301849365,0.7501983046531677,0.8610514998435974
0.641907274723053,0.09443556517362595,0.07102317363023758,0.12638898193836212,0.09443556517362595,0.7492385506629944,0.8634557127952576,14.442326545715332,2.863086700439453,0.0461990088224411,0.1151910126209259,2.863086700439453,0.7513463497161865,0.8884119987487793
0.5199488997459412,0.07657518982887268,0.058123134076595306,0.09977731108665466,0.07657518982887268,0.7503836750984192,0.8939250707626343,9.173649787902832,1.813583254814148,0.03813125565648079,0.09707023203372955,1.813583254814148,0.7515568137168884,0.9045064449310303
0.42241424322128296,0.060502976179122925,0.05141200125217438,0.08556316792964935,0.060502976179122925,0.7509942650794983,0.9066048264503479,4.495630741119385,0.8828049898147583,0.03320280835032463,0.063602976500988,0.8828049898147583,0.7523803114891052,0.9361587762832642
0.3672748804092407,0.05274944752454758,0.04421807825565338,0.07440152764320374,0.05274944752454758,0.7516447305679321,0.9204201102256775,13.26031494140625,2.637033462524414,0.03029659576714039,0.059413842856884,2.637033462524414,0.7528975605964661,0.9431330561637878
0.3127743899822235,0.044693272560834885,0.03829475864768028,0.0637316107749939,0.044693272560834885,0.7521470785140991,0.9341408014297485,18.693323135375977,3.725231885910034,0.026854930445551872,0.05376620590686798,3.725231885910034,0.752319872379303,0.9554721117019653
0.28385862708091736,0.04069476202130318,0.03509910777211189,0.055472709238529205,0.04069476202130318,0.7524425983428955,0.9459689855575562,13.575024604797363,2.7025721073150635,0.023653479292988777,0.053384482860565186,2.7025721073150635,0.7535305023193359,0.9533261656761169
0.2243613749742508,0.030582405626773834,0.031116489320993423,0.049549151211977005,0.030582405626773834,0.7527969479560852,0.9526873826980591,34.59649658203125,6.909139156341553,0.019875837489962578,0.041968271136283875,6.909139156341553,0.7532042264938354,0.9678111672401428
0.22332370281219482,0.03173056244850159,0.028554130345582962,0.043679650872945786,0.03173056244850159,0.7530307173728943,0.9591218829154968,25.384496688842773,5.068432807922363,0.01609286107122898,0.036384616047143936,5.068432807922363,0.753940761089325,0.966738224029541
